[2025-09-29 17:33:03] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:41:08] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:42:40] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:43:17] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:44:07] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:45:29] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:45:46] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 17:46:06] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:41:20] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:41:48] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:42:04] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:42:17] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:42:36] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:46:23] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 18:46:53] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
